year,mem_unions,state,rep_unions
2000,9.60,AL,10.50
2001,10.00,AL,11.30
2002,9.10,AL,10.60
2003,8.10,AL,9.50
2004,9.70,AL,11.50
2005,10.20,AL,11.70
2006,8.80,AL,10.00
2007,9.50,AL,10.60
2008,9.80,AL,10.70
2009,10.90,AL,12.00
2010,10.10,AL,11.20
2011,10.00,AL,10.80
2012,9.20,AL,10.50
2013,10.70,AL,11.70
2014,10.80,AL,12.10
2015,10.20,AL,11.00
2016,8.10,AL,9.00
2017,7.40,AL,8.10
2018,9.20,AL,10.10
2019,8.50,AL,9.80
2020,8.00,AL,8.70
2021,5.90,AL,6.90
2022,7.20,AL,8.40
2023,7.50,AL,8.60
2024,6.60,AL,7.80
2000,21.60,AK,24.50
2001,21.50,AK,24.60
2002,24.40,AK,26.90
2003,22.30,AK,24.60
2004,20.10,AK,22.40
2005,22.80,AK,24.10
2006,22.20,AK,23.80
2007,23.80,AK,24.70
2008,23.50,AK,24.70
2009,22.30,AK,23.60
2010,22.90,AK,24.80
2011,22.10,AK,23.70
2012,22.40,AK,23.90
2013,23.10,AK,24.50
2014,22.80,AK,24.40
2015,19.60,AK,21.70
2016,18.50,AK,19.90
2017,18.10,AK,19.40
2018,18.50,AK,20.00
2019,17.10,AK,18.70
2020,17.70,AK,19.50
2021,15.80,AK,17.20
2022,16.00,AK,17.30
2023,14.80,AK,15.20
2024,17.70,AK,19.50
2000,6.60,AZ,7.60
2001,6.10,AZ,6.70
2002,5.50,AZ,6.60
2003,5.20,AZ,6.40
2004,6.30,AZ,7.90
2005,6.10,AZ,7.70
2006,7.60,AZ,9.70
2007,8.80,AZ,9.70
2008,8.80,AZ,9.80
2009,6.50,AZ,7.90
2010,6.40,AZ,8.10
2011,6.00,AZ,7.30
2012,5.10,AZ,6.50
2013,5.00,AZ,6.00
2014,5.30,AZ,6.70
2015,5.20,AZ,6.10
2016,4.50,AZ,5.50
2017,4.00,AZ,5.20
2018,5.30,AZ,6.50
2019,5.70,AZ,7.10
2020,5.30,AZ,7.10
2021,5.40,AZ,6.70
2022,5.50,AZ,6.20
2023,4.20,AZ,4.80
2024,3.70,AZ,4.50
2000,5.80,AR,6.80
2001,6.50,AR,8.10
2002,5.90,AR,6.70
2003,4.80,AR,5.90
2004,4.80,AR,6.20
2005,4.80,AR,6.00
2006,5.10,AR,6.00
2007,5.40,AR,6.50
2008,5.90,AR,7.30
2009,4.20,AR,5.00
2010,4.00,AR,5.40
2011,4.20,AR,5.10
2012,3.20,AR,3.70
2013,3.50,AR,4.10
2014,4.70,AR,5.40
2015,5.10,AR,6.40
2016,3.90,AR,5.00
2017,5.10,AR,6.10
2018,4.80,AR,5.30
2019,5.20,AR,5.90
2020,4.70,AR,5.90
2021,3.90,AR,4.40
2022,4.90,AR,5.70
2023,5.10,AR,5.80
2024,3.50,AR,4.40
2000,15.50,CA,17.40
2001,16.10,CA,17.70
2002,17.50,CA,18.80
2003,16.80,CA,18.40
2004,16.50,CA,18.00
2005,16.50,CA,17.80
2006,15.70,CA,16.90
2007,16.70,CA,17.80
2008,18.40,CA,19.50
2009,17.20,CA,18.30
2010,17.50,CA,18.60
2011,17.10,CA,18.20
2012,17.20,CA,18.40
2013,16.40,CA,17.40
2014,16.30,CA,17.50
2015,15.90,CA,17.20
2016,15.90,CA,17.50
2017,15.50,CA,16.90
2018,14.70,CA,15.80
2019,15.20,CA,16.50
2020,16.20,CA,17.60
2021,15.90,CA,17.80
2022,16.10,CA,17.60
2023,15.40,CA,16.90
2024,14.50,CA,16.30
2000,9.40,CO,10.60
2001,8.90,CO,10.30
2002,7.90,CO,9.00
2003,7.80,CO,9.00
2004,8.40,CO,9.30
2005,8.30,CO,9.40
2006,7.70,CO,8.60
2007,8.70,CO,9.20
2008,8.00,CO,9.20
2009,7.00,CO,8.30
2010,6.60,CO,8.00
2011,8.20,CO,9.30
2012,7.80,CO,8.80
2013,7.60,CO,9.20
2014,9.50,CO,10.70
2015,8.40,CO,9.30
2016,9.80,CO,10.80
2017,9.60,CO,11.00
2018,11.00,CO,12.00
2019,9.00,CO,9.80
2020,7.40,CO,8.20
